dataset,top_n,gene_mode,modality,f1_mean,f1_std
CDRP-bio,150,ranked,Early Fusion,0.17106704260651628,0.04924255032739226
CDRP-bio,150,ranked,GE,0.1355375256408538,0.06929451183587623
CDRP-bio,150,ranked,Late Fusion,0.18946204244794468,0.05846828760040904
CDRP-bio,20,random,CP,0.1499151404151404,0.04570273427802224
CDRP-bio,20,random,Early Fusion,0.13846338125423155,0.037882733669686953
CDRP-bio,20,random,GE,0.08254688860982133,0.05544720414318468
CDRP-bio,20,random,Late Fusion,0.14423941578205732,0.0389699640516072
CDRP-bio,20,ranked,CP,0.1499151404151404,0.04769072961485817
CDRP-bio,20,ranked,Early Fusion,0.1356045548019232,0.048438289823380686
CDRP-bio,20,ranked,GE,0.11915072779817362,0.06638041348232197
CDRP-bio,20,ranked,Late Fusion,0.1467384768009768,0.037266442102390405
CDRP-bio,200,random,CP,0.1499151404151404,0.04570273427802224
CDRP-bio,200,random,Early Fusion,0.14006565536941476,0.060891233564579636
CDRP-bio,200,random,GE,0.08004067500389925,0.04640451425410662
CDRP-bio,200,random,Late Fusion,0.15280679113914408,0.04736830552410481
CDRP-bio,200,ranked,CP,0.1499151404151404,0.04769072961485817
CDRP-bio,200,ranked,Early Fusion,0.17070109454038024,0.0663980681577266
CDRP-bio,200,ranked,GE,0.11495545759709846,0.06577823042911177
CDRP-bio,200,ranked,Late Fusion,0.1902593582274033,0.06960882122678536
CDRP-bio,25,random,CP,0.1499151404151404,0.04570273427802224
CDRP-bio,25,random,Early Fusion,0.13351524137800022,0.045780264787813676
CDRP-bio,25,random,GE,0.07026479018958011,0.05078857813142857
CDRP-bio,25,random,Late Fusion,0.14067322508973326,0.039801481663561594
CDRP-bio,25,ranked,CP,0.1499151404151404,0.04769072961485817
CDRP-bio,25,ranked,Early Fusion,0.1394560438718042,0.05283459892339675
CDRP-bio,25,ranked,GE,0.1080254329004329,0.06103520468279651
CDRP-bio,25,ranked,Late Fusion,0.1552739258096401,0.03387599372908695
CDRP-bio,30,random,CP,0.1499151404151404,0.04570273427802224
CDRP-bio,30,random,Early Fusion,0.12998607615151733,0.0492966498430776
CDRP-bio,30,random,GE,0.06580525082011703,0.04591638644170352
CDRP-bio,30,random,Late Fusion,0.14620666110655606,0.04559867644542996
CDRP-bio,30,ranked,CP,0.1499151404151404,0.04769072961485817
CDRP-bio,30,ranked,Early Fusion,0.14550038931656578,0.04548414124099834
CDRP-bio,30,ranked,GE,0.10908766306792621,0.060038374619053946
CDRP-bio,30,ranked,Late Fusion,0.16288522588522586,0.050322892124194205
CDRP-bio,300,random,CP,0.1499151404151404,0.04570273427802224
CDRP-bio,300,random,Early Fusion,0.1413351424113215,0.0582003367287754
CDRP-bio,300,random,GE,0.0773615557272678,0.050836616482428626
CDRP-bio,300,random,Late Fusion,0.13982517052705024,0.047747618830423985
CDRP-bio,300,ranked,CP,0.1499151404151404,0.04769072961485817
CDRP-bio,300,ranked,Early Fusion,0.16562107921318445,0.05462311594517824
CDRP-bio,300,ranked,GE,0.1160177450473503,0.06040165471147098
CDRP-bio,300,ranked,Late Fusion,0.1833590093879311,0.04826211096935753
CDRP-bio,400,random,CP,0.1499151404151404,0.04570273427802224
CDRP-bio,400,random,Early Fusion,0.14084320209343704,0.057464264279742314
CDRP-bio,400,random,GE,0.08873847824002622,0.049636128661063615
CDRP-bio,400,random,Late Fusion,0.15444071038913626,0.041962730373249636
CDRP-bio,400,ranked,CP,0.1499151404151404,0.04769072961485817
CDRP-bio,400,ranked,Early Fusion,0.15680732549430026,0.06667900712701318
CDRP-bio,400,ranked,GE,0.12171334129693263,0.07804198486804313
CDRP-bio,400,ranked,Late Fusion,0.17560672514619882,0.055665120430859714
CDRP-bio,5,random,CP,0.1499151404151404,0.04570273427802224
CDRP-bio,5,random,Early Fusion,0.12298957358001475,0.05361966952261817
CDRP-bio,5,random,GE,0.05416270901523002,0.04421893930347952
CDRP-bio,5,random,Late Fusion,0.14873622671290737,0.04524889372346375
CDRP-bio,5,ranked,CP,0.1499151404151404,0.04769072961485817
CDRP-bio,5,ranked,Early Fusion,0.13010428415909697,0.054134680152551504
CDRP-bio,5,ranked,GE,0.10214972527472525,0.06350783260086884
CDRP-bio,5,ranked,Late Fusion,0.1460705128205128,0.03970114093033299
CDRP-bio,50,random,CP,0.1499151404151404,0.04570273427802224
CDRP-bio,50,random,Early Fusion,0.14398676486420847,0.0411015859552451
CDRP-bio,50,random,GE,0.09670559887350023,0.06058892314330109
CDRP-bio,50,random,Late Fusion,0.1555450560255182,0.047892563270580286
CDRP-bio,50,ranked,CP,0.1499151404151404,0.04769072961485817
CDRP-bio,50,ranked,Early Fusion,0.1608175596333491,0.03569779193846809
CDRP-bio,50,ranked,GE,0.1425912169758919,0.0855585422574952
CDRP-bio,50,ranked,Late Fusion,0.1738105451357331,0.060240266287171516
CDRP-bio,75,random,CP,0.1499151404151404,0.04570273427802224
CDRP-bio,75,random,Early Fusion,0.14976406807918474,0.07322323725534367
CDRP-bio,75,random,GE,0.08285424437717671,0.0532175529547654
CDRP-bio,75,random,Late Fusion,0.14929619928943236,0.0462116879903714
CDRP-bio,75,ranked,CP,0.1499151404151404,0.04769072961485817
CDRP-bio,75,ranked,Early Fusion,0.151029615539014,0.05929942810744948
CDRP-bio,75,ranked,GE,0.1155239004938253,0.05680834541828861
