dataset,top_n,gene_mode,gene_id,fold,modality,f1
CDRP-bio,5,random,rand4,9,GE,0.07692307692307693
CDRP-bio,5,random,rand4,9,Early Fusion,0.10238095238095238
CDRP-bio,5,random,rand4,9,Late Fusion,0.18518518518518517
CDRP-bio,5,random,rand5,9,CP,0.13675213675213674
CDRP-bio,5,random,rand5,9,GE,0.05555555555555555
CDRP-bio,5,random,rand5,9,Early Fusion,0.07226107226107226
CDRP-bio,5,random,rand5,9,Late Fusion,0.10317460317460317
CDRP-bio,5,ranked,r0,10,CP,0.11428571428571428
CDRP-bio,5,ranked,r0,10,GE,0.07692307692307693
CDRP-bio,5,ranked,r0,10,Early Fusion,0.06526806526806526
CDRP-bio,5,ranked,r0,10,Late Fusion,0.11428571428571428
CDRP-bio,5,random,rand1,10,CP,0.11428571428571428
CDRP-bio,5,random,rand1,10,GE,0.11538461538461539
CDRP-bio,5,random,rand1,10,Early Fusion,0.06526806526806526
CDRP-bio,5,random,rand1,10,Late Fusion,0.11333333333333333
CDRP-bio,5,random,rand2,10,CP,0.11428571428571428
CDRP-bio,5,random,rand2,10,GE,0.051587301587301584
CDRP-bio,5,random,rand2,10,Early Fusion,0.06526806526806526
CDRP-bio,5,random,rand2,10,Late Fusion,0.14285714285714285
CDRP-bio,5,random,rand3,10,CP,0.11428571428571428
CDRP-bio,5,random,rand3,10,GE,0.08974358974358973
CDRP-bio,5,random,rand3,10,Early Fusion,0.06526806526806526
CDRP-bio,5,random,rand3,10,Late Fusion,0.14285714285714285
CDRP-bio,5,random,rand4,10,CP,0.11428571428571428
CDRP-bio,5,random,rand4,10,GE,0.07539682539682539
CDRP-bio,5,random,rand4,10,Early Fusion,0.06526806526806526
CDRP-bio,5,random,rand4,10,Late Fusion,0.14285714285714285
CDRP-bio,5,random,rand5,10,CP,0.11428571428571428
CDRP-bio,5,random,rand5,10,GE,0.05128205128205128
CDRP-bio,5,random,rand5,10,Early Fusion,0.06526806526806526
CDRP-bio,5,random,rand5,10,Late Fusion,0.14395604395604394
CDRP-bio,10,ranked,r0,1,CP,0.10769230769230768
CDRP-bio,10,ranked,r0,1,GE,0.1992063492063492
CDRP-bio,10,ranked,r0,1,Early Fusion,0.1346153846153846
CDRP-bio,10,ranked,r0,1,Late Fusion,0.07692307692307693
CDRP-bio,10,random,rand1,1,CP,0.10769230769230768
CDRP-bio,10,random,rand1,1,GE,0.05000000000000001
CDRP-bio,10,random,rand1,1,Early Fusion,0.1346153846153846
CDRP-bio,10,random,rand1,1,Late Fusion,0.06666666666666667
CDRP-bio,10,random,rand2,1,CP,0.10769230769230768
CDRP-bio,10,random,rand2,1,GE,0.08241758241758242
CDRP-bio,10,random,rand2,1,Early Fusion,0.13247863247863248
CDRP-bio,10,random,rand2,1,Late Fusion,0.09523809523809523
CDRP-bio,10,random,rand3,1,CP,0.10769230769230768
CDRP-bio,10,random,rand3,1,GE,0.1111111111111111
CDRP-bio,10,random,rand3,1,Early Fusion,0.13247863247863248
CDRP-bio,10,random,rand3,1,Late Fusion,0.09523809523809523
CDRP-bio,10,random,rand4,1,CP,0.10769230769230768
CDRP-bio,10,random,rand4,1,GE,0.058823529411764705
CDRP-bio,10,random,rand4,1,Early Fusion,0.13247863247863248
CDRP-bio,10,random,rand4,1,Late Fusion,0.07142857142857142
CDRP-bio,10,random,rand5,1,CP,0.10769230769230768
CDRP-bio,10,random,rand5,1,GE,0.025
CDRP-bio,10,random,rand5,1,Early Fusion,0.13247863247863248
CDRP-bio,10,random,rand5,1,Late Fusion,0.0625
CDRP-bio,10,ranked,r0,2,CP,0.13333333333333333
CDRP-bio,10,ranked,r0,2,GE,0.028571428571428574
CDRP-bio,10,ranked,r0,2,Early Fusion,0.09333333333333332
CDRP-bio,10,ranked,r0,2,Late Fusion,0.13333333333333333
CDRP-bio,10,random,rand1,2,CP,0.13333333333333333
CDRP-bio,10,random,rand1,2,GE,0.0
CDRP-bio,10,random,rand1,2,Early Fusion,0.09333333333333332
CDRP-bio,10,random,rand1,2,Late Fusion,0.13333333333333333
CDRP-bio,10,random,rand2,2,CP,0.13333333333333333
CDRP-bio,10,random,rand2,2,GE,0.0
CDRP-bio,10,random,rand2,2,Early Fusion,0.09333333333333332
CDRP-bio,10,random,rand2,2,Late Fusion,0.16666666666666666
CDRP-bio,10,random,rand3,2,CP,0.13333333333333333
CDRP-bio,10,random,rand3,2,GE,0.023809523809523808
CDRP-bio,10,random,rand3,2,Early Fusion,0.09333333333333332
CDRP-bio,10,random,rand3,2,Late Fusion,0.16666666666666666
CDRP-bio,10,random,rand4,2,CP,0.13333333333333333
CDRP-bio,10,random,rand4,2,GE,0.0
CDRP-bio,10,random,rand4,2,Early Fusion,0.09333333333333332
CDRP-bio,10,random,rand4,2,Late Fusion,0.13333333333333333
CDRP-bio,10,random,rand5,2,CP,0.13333333333333333
CDRP-bio,10,random,rand5,2,GE,0.0
CDRP-bio,10,random,rand5,2,Early Fusion,0.09333333333333332
CDRP-bio,10,random,rand5,2,Late Fusion,0.13333333333333333
CDRP-bio,10,ranked,r0,3,CP,0.125
CDRP-bio,10,ranked,r0,3,GE,0.13846153846153847
CDRP-bio,10,ranked,r0,3,Early Fusion,0.0625
CDRP-bio,10,ranked,r0,3,Late Fusion,0.12202380952380952
CDRP-bio,10,random,rand1,3,CP,0.125
CDRP-bio,10,random,rand1,3,GE,0.07111111111111111
CDRP-bio,10,random,rand1,3,Early Fusion,0.10416666666666666
CDRP-bio,10,random,rand1,3,Late Fusion,0.15625
CDRP-bio,10,random,rand2,3,CP,0.125
CDRP-bio,10,random,rand2,3,GE,0.0
CDRP-bio,10,random,rand2,3,Early Fusion,0.10416666666666666
CDRP-bio,10,random,rand2,3,Late Fusion,0.15625
CDRP-bio,10,random,rand3,3,CP,0.125
CDRP-bio,10,random,rand3,3,GE,0.0196078431372549
CDRP-bio,10,random,rand3,3,Early Fusion,0.10416666666666666
CDRP-bio,10,random,rand3,3,Late Fusion,0.12507936507936507
CDRP-bio,10,random,rand4,3,CP,0.125
CDRP-bio,10,random,rand4,3,GE,0.0642857142857143
CDRP-bio,10,random,rand4,3,Early Fusion,0.10416666666666666
CDRP-bio,10,random,rand4,3,Late Fusion,0.12202380952380952
CDRP-bio,10,random,rand5,3,CP,0.125
CDRP-bio,10,random,rand5,3,GE,0.07777777777777777
CDRP-bio,10,random,rand5,3,Early Fusion,0.10416666666666666
CDRP-bio,10,random,rand5,3,Late Fusion,0.14285714285714285
CDRP-bio,10,ranked,r0,4,CP,0.13095238095238093
CDRP-bio,10,ranked,r0,4,GE,0.05952380952380952
CDRP-bio,10,ranked,r0,4,Early Fusion,0.14358974358974358
CDRP-bio,10,ranked,r0,4,Late Fusion,0.11904761904761904
CDRP-bio,10,random,rand1,4,CP,0.13095238095238093
CDRP-bio,10,random,rand1,4,GE,0.007518796992481203
CDRP-bio,10,random,rand1,4,Early Fusion,0.11794871794871795
CDRP-bio,10,random,rand1,4,Late Fusion,0.11555555555555556
CDRP-bio,10,random,rand2,4,CP,0.13095238095238093
CDRP-bio,10,random,rand2,4,GE,0.006578947368421052
CDRP-bio,10,random,rand2,4,Early Fusion,0.09206349206349206
CDRP-bio,10,random,rand2,4,Late Fusion,0.0625
CDRP-bio,10,random,rand3,4,CP,0.13095238095238093
CDRP-bio,10,random,rand3,4,GE,0.0
CDRP-bio,10,random,rand3,4,Early Fusion,0.13333333333333333
CDRP-bio,10,random,rand3,4,Late Fusion,0.11190476190476191
CDRP-bio,10,random,rand4,4,CP,0.13095238095238093
CDRP-bio,10,random,rand4,4,GE,0.0
CDRP-bio,10,random,rand4,4,Early Fusion,0.1474358974358974
CDRP-bio,10,random,rand4,4,Late Fusion,0.11190476190476191
CDRP-bio,10,random,rand5,4,CP,0.13095238095238093
CDRP-bio,10,random,rand5,4,GE,0.041666666666666664
CDRP-bio,10,random,rand5,4,Early Fusion,0.16944444444444443
CDRP-bio,10,random,rand5,4,Late Fusion,0.14615384615384613
CDRP-bio,10,ranked,r0,5,CP,0.21999999999999995
CDRP-bio,10,ranked,r0,5,GE,0.155011655011655
CDRP-bio,10,ranked,r0,5,Early Fusion,0.17777777777777776
CDRP-bio,10,ranked,r0,5,Late Fusion,0.2394957983193277
CDRP-bio,10,random,rand1,5,CP,0.21999999999999995
CDRP-bio,10,random,rand1,5,GE,0.16462585034013605
CDRP-bio,10,random,rand1,5,Early Fusion,0.16666666666666666
CDRP-bio,10,random,rand1,5,Late Fusion,0.23039215686274506
CDRP-bio,10,random,rand2,5,CP,0.21999999999999995
CDRP-bio,10,random,rand2,5,GE,0.0625
CDRP-bio,10,random,rand2,5,Early Fusion,0.16666666666666666
CDRP-bio,10,random,rand2,5,Late Fusion,0.21777777777777774
CDRP-bio,10,random,rand3,5,CP,0.21999999999999995
CDRP-bio,10,random,rand3,5,GE,0.09999999999999999
CDRP-bio,10,random,rand3,5,Early Fusion,0.16666666666666666
CDRP-bio,10,random,rand3,5,Late Fusion,0.16666666666666666
CDRP-bio,10,random,rand4,5,CP,0.21999999999999995
CDRP-bio,10,random,rand4,5,GE,0.023529411764705882
CDRP-bio,10,random,rand4,5,Early Fusion,0.16666666666666666
CDRP-bio,10,random,rand4,5,Late Fusion,0.17555555555555555
CDRP-bio,10,random,rand5,5,CP,0.21999999999999995
CDRP-bio,10,random,rand5,5,GE,0.11333333333333334
CDRP-bio,10,random,rand5,5,Early Fusion,0.16666666666666666
CDRP-bio,10,random,rand5,5,Late Fusion,0.2571428571428571
CDRP-bio,10,ranked,r0,6,CP,0.10476190476190476
CDRP-bio,10,ranked,r0,6,GE,0.028571428571428574
CDRP-bio,10,ranked,r0,6,Early Fusion,0.08666666666666667
CDRP-bio,10,ranked,r0,6,Late Fusion,0.1111111111111111
CDRP-bio,10,random,rand1,6,CP,0.10476190476190476
CDRP-bio,10,random,rand1,6,GE,0.05396825396825397
CDRP-bio,10,random,rand1,6,Early Fusion,0.08666666666666667
CDRP-bio,10,random,rand1,6,Late Fusion,0.16428571428571428
CDRP-bio,10,random,rand2,6,CP,0.10476190476190476
CDRP-bio,10,random,rand2,6,GE,0.04444444444444444
CDRP-bio,10,random,rand2,6,Early Fusion,0.08666666666666667
CDRP-bio,10,random,rand2,6,Late Fusion,0.09777777777777778
CDRP-bio,10,random,rand3,6,CP,0.10476190476190476
CDRP-bio,10,random,rand3,6,GE,0.11564625850340136
CDRP-bio,10,random,rand3,6,Early Fusion,0.08666666666666667
CDRP-bio,10,random,rand3,6,Late Fusion,0.12444444444444444
CDRP-bio,10,random,rand4,6,CP,0.10476190476190476
CDRP-bio,10,random,rand4,6,GE,0.07777777777777777
CDRP-bio,10,random,rand4,6,Early Fusion,0.08666666666666667
CDRP-bio,10,random,rand4,6,Late Fusion,0.10476190476190476
CDRP-bio,10,random,rand5,6,CP,0.10476190476190476
CDRP-bio,10,random,rand5,6,GE,0.05555555555555555
CDRP-bio,10,random,rand5,6,Early Fusion,0.08666666666666667
CDRP-bio,10,random,rand5,6,Late Fusion,0.08666666666666667
CDRP-bio,10,ranked,r0,7,CP,0.19047619047619047
CDRP-bio,10,ranked,r0,7,GE,0.11324786324786326
CDRP-bio,10,ranked,r0,7,Early Fusion,0.266934046345811
CDRP-bio,10,ranked,r0,7,Late Fusion,0.19047619047619047
CDRP-bio,10,random,rand1,7,CP,0.19047619047619047
CDRP-bio,10,random,rand1,7,GE,0.06111111111111111
CDRP-bio,10,random,rand1,7,Early Fusion,0.2830687830687831
CDRP-bio,10,random,rand1,7,Late Fusion,0.15476190476190474
CDRP-bio,10,random,rand2,7,CP,0.19047619047619047
CDRP-bio,10,random,rand2,7,GE,0.1107142857142857
CDRP-bio,10,random,rand2,7,Early Fusion,0.2852474323062558
