dataset,top_n,gene_mode,gene_id,fold,modality,f1
LINCS,10,random,rand1,3,Early Fusion,0.2912249599271369
LINCS,10,random,rand1,3,Late Fusion,0.2888761560102216
LINCS,10,random,rand2,3,CP,0.2807634721556302
LINCS,10,random,rand2,3,GE,0.10692448476975332
LINCS,10,random,rand2,3,Early Fusion,0.2799261265918307
LINCS,10,random,rand2,3,Late Fusion,0.28692627591220937
LINCS,10,random,rand3,3,CP,0.2807634721556302
LINCS,10,random,rand3,3,GE,0.10269752410939881
LINCS,10,random,rand3,3,Early Fusion,0.2801618173006672
LINCS,10,random,rand3,3,Late Fusion,0.29511415111243
LINCS,10,random,rand4,3,CP,0.2807634721556302
LINCS,10,random,rand4,3,GE,0.12766369682496587
LINCS,10,random,rand4,3,Early Fusion,0.284135578257524
LINCS,10,random,rand4,3,Late Fusion,0.2865823026045623
LINCS,10,random,rand5,3,CP,0.2807634721556302
LINCS,10,random,rand5,3,GE,0.10661992219101996
LINCS,10,random,rand5,3,Early Fusion,0.2859739371643798
LINCS,10,random,rand5,3,Late Fusion,0.28364629139630637
LINCS,10,ranked,r0,4,CP,0.16795134500465914
LINCS,10,ranked,r0,4,GE,0.10497904029330846
LINCS,10,ranked,r0,4,Early Fusion,0.17676503000205698
LINCS,10,ranked,r0,4,Late Fusion,0.1745465643662451
LINCS,10,random,rand1,4,CP,0.16795134500465914
LINCS,10,random,rand1,4,GE,0.06673848779884163
LINCS,10,random,rand1,4,Early Fusion,0.17918720752039957
LINCS,10,random,rand1,4,Late Fusion,0.1659599978796781
LINCS,10,random,rand2,4,CP,0.16795134500465914
LINCS,10,random,rand2,4,GE,0.04608293475031157
LINCS,10,random,rand2,4,Early Fusion,0.17069137689694888
LINCS,10,random,rand2,4,Late Fusion,0.16830350400904287
LINCS,10,random,rand3,4,CP,0.16795134500465914
LINCS,10,random,rand3,4,GE,0.023701532947090754
LINCS,10,random,rand3,4,Early Fusion,0.18315190249301466
LINCS,10,random,rand3,4,Late Fusion,0.17378103110129503
LINCS,10,random,rand4,4,CP,0.16795134500465914
LINCS,10,random,rand4,4,GE,0.05863686314058273
LINCS,10,random,rand4,4,Early Fusion,0.16987346175266074
LINCS,10,random,rand4,4,Late Fusion,0.16533356572981933
LINCS,10,random,rand5,4,CP,0.16795134500465914
LINCS,10,random,rand5,4,GE,0.06724446498984556
LINCS,10,random,rand5,4,Early Fusion,0.1705112433843258
LINCS,10,random,rand5,4,Late Fusion,0.16855885104934315
LINCS,10,ranked,r0,5,CP,0.268721001097659
LINCS,10,ranked,r0,5,GE,0.2102348802717253
LINCS,10,ranked,r0,5,Early Fusion,0.28399898768713694
LINCS,10,ranked,r0,5,Late Fusion,0.30088809825005686
LINCS,10,random,rand1,5,CP,0.268721001097659
LINCS,10,random,rand1,5,GE,0.09335593339855497
LINCS,10,random,rand1,5,Early Fusion,0.27250908705459675
LINCS,10,random,rand1,5,Late Fusion,0.27009025295338396
LINCS,10,random,rand2,5,CP,0.268721001097659
LINCS,10,random,rand2,5,GE,0.10422569598196836
LINCS,10,random,rand2,5,Early Fusion,0.28060186615756527
LINCS,10,random,rand2,5,Late Fusion,0.27394388117913415
LINCS,10,random,rand3,5,CP,0.268721001097659
LINCS,10,random,rand3,5,GE,0.10242720347863854
LINCS,10,random,rand3,5,Early Fusion,0.2720407823279672
LINCS,10,random,rand3,5,Late Fusion,0.27356703009934513
LINCS,10,random,rand4,5,CP,0.268721001097659
LINCS,10,random,rand4,5,GE,0.11715974647966432
LINCS,10,random,rand4,5,Early Fusion,0.2683690453804583
LINCS,10,random,rand4,5,Late Fusion,0.28109573161688745
LINCS,10,random,rand5,5,CP,0.268721001097659
LINCS,10,random,rand5,5,GE,0.10434070532247251
LINCS,10,random,rand5,5,Early Fusion,0.2779024327875003
LINCS,10,random,rand5,5,Late Fusion,0.27145792313265593
LINCS,15,ranked,r0,1,CP,0.1469266921444308
LINCS,15,ranked,r0,1,GE,0.13702430046285208
LINCS,15,ranked,r0,1,Early Fusion,0.1651654298082869
LINCS,15,ranked,r0,1,Late Fusion,0.15621800917957923
LINCS,15,random,rand1,1,CP,0.1469266921444308
LINCS,15,random,rand1,1,GE,0.06335577709344609
LINCS,15,random,rand1,1,Early Fusion,0.14992995197270464
LINCS,15,random,rand1,1,Late Fusion,0.15102816544712871
LINCS,15,random,rand2,1,CP,0.1469266921444308
LINCS,15,random,rand2,1,GE,0.07232629878054182
LINCS,15,random,rand2,1,Early Fusion,0.15040030662218556
LINCS,15,random,rand2,1,Late Fusion,0.1547924306995899
LINCS,15,random,rand3,1,CP,0.1469266921444308
LINCS,15,random,rand3,1,GE,0.09430215529267508
LINCS,15,random,rand3,1,Early Fusion,0.1508330464966316
LINCS,15,random,rand3,1,Late Fusion,0.15903240615199382
LINCS,15,random,rand4,1,CP,0.1469266921444308
LINCS,15,random,rand4,1,GE,0.08326770837224436
LINCS,15,random,rand4,1,Early Fusion,0.15250381460769705
LINCS,15,random,rand4,1,Late Fusion,0.1542074726685447
LINCS,15,random,rand5,1,CP,0.1469266921444308
LINCS,15,random,rand5,1,GE,0.06298357619121722
LINCS,15,random,rand5,1,Early Fusion,0.15052458217495102
LINCS,15,random,rand5,1,Late Fusion,0.1486920888364903
LINCS,15,ranked,r0,2,CP,0.14499424699491112
LINCS,15,ranked,r0,2,GE,0.1273325835275701
LINCS,15,ranked,r0,2,Early Fusion,0.13580038649624845
LINCS,15,ranked,r0,2,Late Fusion,0.15995084869508275
LINCS,15,random,rand1,2,CP,0.14499424699491112
LINCS,15,random,rand1,2,GE,0.044170755177095254
LINCS,15,random,rand1,2,Early Fusion,0.12787500489986228
LINCS,15,random,rand1,2,Late Fusion,0.1423248804620214
LINCS,15,random,rand2,2,CP,0.14499424699491112
LINCS,15,random,rand2,2,GE,0.06767459786387231
LINCS,15,random,rand2,2,Early Fusion,0.12968042792483886
LINCS,15,random,rand2,2,Late Fusion,0.15090547091824802
LINCS,15,random,rand3,2,CP,0.14499424699491112
LINCS,15,random,rand3,2,GE,0.06993677361434293
LINCS,15,random,rand3,2,Early Fusion,0.12892636490583492
LINCS,15,random,rand3,2,Late Fusion,0.1553614567696775
LINCS,15,random,rand4,2,CP,0.14499424699491112
LINCS,15,random,rand4,2,GE,0.06368825706365137
LINCS,15,random,rand4,2,Early Fusion,0.13330277519003345
