dataset,top_n,gene_mode,modality,f1_mean,f1_std
LINCS,20,random,Late Fusion,0.20909026957220755,0.06397101627285501
LINCS,20,ranked,CP,0.20187135147945803,0.06726315819618235
LINCS,20,ranked,Early Fusion,0.22650141053781364,0.08007498184620446
LINCS,20,ranked,GE,0.18732490755812617,0.0662106163765477
LINCS,20,ranked,Late Fusion,0.22281402967361624,0.07219034754735187
LINCS,200,random,CP,0.20187135147945806,0.061402581721812614
LINCS,200,random,Early Fusion,0.2206556360513048,0.06267911750095623
LINCS,200,random,GE,0.18571652546698483,0.06173504248644453
LINCS,200,random,Late Fusion,0.22122324473357463,0.07219885147840663
LINCS,200,ranked,CP,0.20187135147945803,0.06726315819618235
LINCS,200,ranked,Early Fusion,0.23814767414640264,0.06379975001594627
LINCS,200,ranked,GE,0.21080952416306314,0.059678232461709994
LINCS,200,ranked,Late Fusion,0.23345255000563273,0.08239021321193794
LINCS,25,random,CP,0.20187135147945806,0.061402581721812614
LINCS,25,random,Early Fusion,0.21283076974801513,0.06923400537841916
LINCS,25,random,GE,0.12199173711783985,0.04723970839324899
LINCS,25,random,Late Fusion,0.20786631039781642,0.06566122075492513
LINCS,25,ranked,CP,0.20187135147945803,0.06726315819618235
LINCS,25,ranked,Early Fusion,0.22404017128363152,0.07606320323345575
LINCS,25,ranked,GE,0.19505303279052272,0.07758071689852493
LINCS,25,ranked,Late Fusion,0.22394705688533012,0.0766310856216214
LINCS,30,random,CP,0.20187135147945806,0.061402581721812614
LINCS,30,random,Early Fusion,0.2102349840211269,0.06301742877695565
LINCS,30,random,GE,0.12492921910715155,0.04696337624523997
LINCS,30,random,Late Fusion,0.20947336753453003,0.06717926517555715
LINCS,30,ranked,CP,0.20187135147945803,0.06726315819618235
LINCS,30,ranked,Early Fusion,0.22780734081574322,0.06768081376148037
LINCS,30,ranked,GE,0.20353939890370326,0.07434929445499462
LINCS,30,ranked,Late Fusion,0.22233180142463788,0.07505304814940827
LINCS,300,random,CP,0.20187135147945806,0.061402581721812614
LINCS,300,random,Early Fusion,0.22677960600317817,0.06913718624810546
LINCS,300,random,GE,0.19993813840496458,0.06428601206618315
LINCS,300,random,Late Fusion,0.22774608925994538,0.07314246874261908
LINCS,300,ranked,CP,0.20187135147945803,0.06726315819618235
LINCS,300,ranked,Early Fusion,0.23609981131654542,0.07427800102938334
LINCS,300,ranked,GE,0.2089604916335684,0.06573567940562794
LINCS,300,ranked,Late Fusion,0.23296373860829522,0.0759220635866764
LINCS,400,random,CP,0.20187135147945806,0.061402581721812614
LINCS,400,random,Early Fusion,0.22255999738790108,0.06367414736282195
LINCS,400,random,GE,0.19830388834456225,0.06559621540393741
LINCS,400,random,Late Fusion,0.22993139054804007,0.07821588476529738
LINCS,400,ranked,CP,0.20187135147945803,0.06726315819618235
LINCS,400,ranked,Early Fusion,0.2223588122905395,0.07045551906602852
LINCS,400,ranked,GE,0.21700129233052473,0.06787189558511693
LINCS,400,ranked,Late Fusion,0.23674507570610498,0.082413062202478
LINCS,5,random,CP,0.20187135147945806,0.061402581721812614
LINCS,5,random,Early Fusion,0.20470244927284953,0.06877383397737143
LINCS,5,random,GE,0.0398534451039817,0.02720931857789853
LINCS,5,random,Late Fusion,0.20479560885426865,0.06434485356415227
LINCS,5,ranked,CP,0.20187135147945803,0.06726315819618235
LINCS,5,ranked,Early Fusion,0.21778915267027266,0.0741685633644275
LINCS,5,ranked,GE,0.10422189650213602,0.04882302720902557
LINCS,5,ranked,Late Fusion,0.206925197407909,0.07166736386077333
LINCS,50,random,CP,0.20187135147945806,0.061402581721812614
LINCS,50,random,Early Fusion,0.21413713144662017,0.06900971797085759
LINCS,50,random,GE,0.15456690215175167,0.05591012270027531
LINCS,50,random,Late Fusion,0.21757000759350403,0.06802612908903803
