Plate,Well,Name,Concentration,isHit,Prediction_1,Neighbor_1,Distance_1,Confidence_1,Prediction_2,Neighbor_2,Distance_2,Confidence_2,Prediction_3,Neighbor_3,Distance_3,Confidence_3,Prediction_4,Neighbor_4,Distance_4,Confidence_4,Prediction_5,Neighbor_5,Distance_5,Confidence_5,Prediction_6,Neighbor_6,Distance_6,Confidence_6,Prediction_7,Neighbor_7,Distance_7,Confidence_7,Prediction_8,Neighbor_8,Distance_8,Confidence_8,Prediction_9,Neighbor_9,Distance_9,Confidence_9,Prediction_10,Neighbor_10,Distance_10,Confidence_10,Prediction_11,Neighbor_11,Distance_11,Confidence_11,Prediction_12,Neighbor_12,Distance_12,Confidence_12
2013002120,N-22,331977,3,0,DMSO,DMSO,0.14876028552716,0.9997302062771,DNA,Gemcitabine_5,2.19757877442991,0.000821168369128487,Proteasome,MG-115_3,2.59760364054387,0.000150346609045181,mTOR,Torin1_2,2.75202174358162,8.0833864524813e-05,Actin,LatA_2,2.93938829607636,3.94065088941119e-05,AuroraB,ZM447439_2,2.96099560215213,3.63882453802079e-05,ER,Tunicamycin_2,2.99213132162505,3.24845696468923e-05,HDAC,Apicidin_3,3.20008995870505,1.58641062336024e-05,Hsp90,SNX-2112_4,3.47142455710837,6.62186666181375e-06,MT,EpothiloneB_7,5.14417174534859,3.19956567950677e-08,PLK,BI2536_1,5.30154331918018,2.30511965418486e-08,N/A,N/A,NaN,NaN
2013002126,K-10,292923,3,0,DMSO,DMSO,0.148766586676081,0.999730181436719,DNA,Gemcitabine_5,2.12595099101432,0.00111444799848319,mTOR,Torin1_2,2.27346271777375,0.00059174587087394,Proteasome,AclacinomycinA_4,2.28944168417532,0.000552230654554084,Actin,LatA_2,2.82615315131081,6.05111857781593e-05,AuroraB,ZM447439_2,2.87278699125947,5.06039363537386e-05,ER,Tunicamycin_2,2.93419251007236,4.01732571257131e-05,Hsp90,SNX-2112_4,3.10109544891676,2.21208571793583e-05,HDAC,Apicidin_3,3.34315888648285,9.99751727622504e-06,MT,EpothiloneB_7,5.13986690920424,3.23121602868874e-08,PLK,BI2536_1,5.2953062929019,2.33286511040198e-08,N/A,N/A,NaN,NaN
2013002112,J-21,342460,2,0,DMSO,DMSO,0.148785948950144,0.999730105093138,DNA,Gemcitabine_5,2.01365215520823,0.00176848380204399,Proteasome,MG-115_3,2.43114614423891,0.000300677191639677,mTOR,Torin1_2,2.55192138922094,0.000181385256239381,Actin,LatA_2,2.73851644214077,8.52666461663116e-05,AuroraB,ZM447439_2,2.76631898079165,7.64080283045571e-05,ER,Tunicamycin_2,3.02781997564336,2.85793514644505e-05,HDAC,Apicidin_3,3.27415442519744,1.24695562594127e-05,Hsp90,SNX-2112_4,3.29456708586205,1.1678152725025e-05,MT,EpothiloneB_7,4.90693533364029,5.93478468220165e-08,PLK,BI2536_1,5.07582680553962,3.76386973019541e-08,N/A,N/A,NaN,NaN
2013002121,D-5,112203,1,0,DMSO,DMSO,0.148806040631819,0.999730025851795,DNA,CPT_4,2.35716863772674,0.000412354173616728,Proteasome,AclacinomycinA_4,2.64955124792827,0.000121726323660529,mTOR,Torin1_2,2.66536052412165,0.000114203903225431,ER,Tunicamycin_2,3.09461025257946,2.26198321496294e-05,Actin,LatA_2,3.13803540132125,1.95066316844648e-05,AuroraB,ZM447439_2,3.15503445156122,1.84228039515954e-05,HDAC,Apicidin_3,3.36840674879026,9.22330617813534e-06,Hsp90,SNX-2112_4,3.47156569133073,6.6188275826262e-06,MT,EpothiloneB_7,5.37142857951262,2.02394693562542e-08,PLK,BI2536_1,5.50810650223834,1.58407302988788e-08,N/A,N/A,NaN,NaN
2013002116,O-21,81703,3,0,DMSO,DMSO,0.148828623216209,0.999729936759878,DNA,Gemcitabine_5,1.92982925567653,0.00245075690711099,Proteasome,MG-115_3,2.30247258197629,0.000521985424433122,mTOR,Torin1_2,2.63357754953498,0.000129859524187477,Actin,LatA_2,2.71329169098553,9.42518376053756e-05,AuroraB,ZM447439_2,2.75168305650733,8.09419724659425e-05,ER,Tunicamycin_2,2.86140664858887,5.28469030844837e-05,HDAC,Apicidin_3,3.09295846207346,2.2749002965514e-05,Hsp90,SNX-2112_4,3.38395235896695,8.77634676789388e-06,MT,EpothiloneB_7,4.92643841985793,5.61066782905076e-08,PLK,BI2536_1,5.07453349889557,3.77593686074796e-08,N/A,N/A,NaN,NaN
2013002122,M-7,653004,2,0,DMSO,DMSO,0.148839485255272,0.999729893897406,DNA,Gemcitabine_5,2.16980607466967,0.000925022524950203,Proteasome,AclacinomycinA_4,2.47324612289539,0.00025172510201241,mTOR,Torin1_2,2.50955641326231,0.000216237420030045,Actin,LatA_2,2.90514597351462,4.47772074522402e-05,AuroraB,ZM447439_2,2.95325651870157,3.74386481809538e-05,ER,Tunicamycin_2,2.98355102395521,3.35112535179686e-05,Hsp90,SNX-2112_4,3.35901075211478,9.50418980832986e-06,HDAC,Apicidin_3,3.39035296317673,8.59853253870366e-06,MT,EpothiloneB_7,5.1319681016401,3.29056156517676e-08,PLK,BI2536_1,5.27057757576459,2.44790883346676e-08,N/A,N/A,NaN,NaN
2013002121,K-5,524615,1,0,DMSO,DMSO,0.148840732872846,0.999729888973792,DNA,Gemcitabine_5,2.22244996265465,0.000737737804121605,mTOR,Torin1_2,2.51867080982744,0.000208184911496029,Proteasome,AclacinomycinA_4,2.54769478940513,0.000184579987246097,AuroraB,ZM447439_2,3.02322928508921,2.90506271150946e-05,Actin,LatA_2,3.04156420390925,2.72195961957596e-05,ER,Tunicamycin_2,3.13979943247776,1.93908610253822e-05,Hsp90,SNX-2112_4,3.27926790207266,1.22661158526375e-05,HDAC,Apicidin_3,3.40329008627631,8.24965678427799e-06,MT,EpothiloneB_7,5.22454912827253,2.68648481278834e-08,PLK,BI2536_1,5.37627337556451,2.00621098958909e-08,N/A,N/A,NaN,NaN
2013002122,D-10,328111,2,0,DMSO,DMSO,0.148866831346652,0.999729785958821,DNA,Gemcitabine_5,2.09564474238272,0.00126544762360985,Proteasome,AclacinomycinA_4,2.38485637525021,0.000366201291810871,mTOR,Torin1_2,2.47509915913297,0.000249773035149011,Actin,LatA_2,2.78101909688097,7.21255335477518e-05,AuroraB,ZM447439_2,2.82456402728819,6.0883986261258e-05,ER,Tunicamycin_2,2.85090253402487,5.50139132882592e-05,HDAC,Apicidin_3,3.18811369888635,1.65029588992837e-05,Hsp90,SNX-2112_4,3.26578232116497,1.2810467116056e-05,MT,EpothiloneB_7,4.97888338034673,4.84519146735424e-08,PLK,BI2536_1,5.13450382670842,3.27132383823526e-08,N/A,N/A,NaN,NaN
2013002126,I-16,88600,3,0,DMSO,DMSO,0.148878292106736,0.999729740709476,DNA,CPT_4,2.29351892132179,0.000542580872475249,mTOR,Torin1_2,2.46707803750108,0.000258338604521753,Proteasome,AclacinomycinA_4,2.54953253733724,0.000183183673401735,AuroraB,ZM447439_2,3.15403305737362,1.84847364402905e-05,Actin,LatA_2,3.17006538183633,1.75209137890419e-05,Hsp90,SNX-2112_4,3.25101568946292,1.3436396030451e-05,ER,Tunicamycin_2,3.29199839035966,1.1774786875148e-05,HDAC,Apicidin_3,3.56452270344123,4.86942479369554e-06,MT,EpothiloneB_7,5.45058917340281,1.75576240362097e-08,PLK,BI2536_1,5.57911858056229,1.39195750736341e-08,N/A,N/A,NaN,NaN
2013002115,F-18,7962,2,0,DMSO,DMSO,0.148905891117857,0.999729631713472,DNA,Gemcitabine_5,1.96065119133324,0.00217782078274876,Proteasome,AclacinomycinA_4,2.2991695473173,0.000529488571214656,mTOR,Torin1_2,2.41566152465494,0.000321110180711316,Actin,LatA_2,2.65546335750576,0.000118853954320559,AuroraB,ZM447439_2,2.6809821758182,0.000107251009027327,ER,Tunicamycin_2,2.88193925079219,4.8875659635122e-05,HDAC,Apicidin_3,3.11246918025838,2.12756993038492e-05,Hsp90,SNX-2112_4,3.13299041434459,1.9842092983046e-05,MT,EpothiloneB_7,4.92398823296149,5.65013827396787e-08,PLK,BI2536_1,5.08628729413809,3.66834293844638e-08,N/A,N/A,NaN,NaN
