Cells_AreaShape_FormFactor,Cells_AreaShape_Zernike_1_1,Cells_AreaShape_Zernike_2_2,Cells_AreaShape_Zernike_5_1,Cells_AreaShape_Zernike_6_0,Cells_AreaShape_Zernike_6_2,Cells_AreaShape_Zernike_7_1,Cells_AreaShape_Zernike_7_3,Cells_AreaShape_Zernike_8_0,Cells_AreaShape_Zernike_8_2,Cells_AreaShape_Zernike_8_4,Cells_AreaShape_Zernike_9_1,Cells_AreaShape_Zernike_9_3,Cells_Granularity_2_ER,Cells_Granularity_2_RNA,Cells_RadialDistribution_RadialCV_AGP_4of4,Cells_RadialDistribution_RadialCV_ER_3of4,Cells_RadialDistribution_RadialCV_ER_4of4,Cells_RadialDistribution_RadialCV_RNA_1of4,Cells_Texture_InfoMeas2_ER_5_0,Cytoplasm_AreaShape_Zernike_1_1,Cytoplasm_AreaShape_Zernike_6_0,Cytoplasm_AreaShape_Zernike_6_2,Cytoplasm_AreaShape_Zernike_7_1,Cytoplasm_AreaShape_Zernike_7_3,Cytoplasm_AreaShape_Zernike_8_0,Cytoplasm_AreaShape_Zernike_8_2,Cytoplasm_AreaShape_Zernike_8_4,Cytoplasm_AreaShape_Zernike_9_1,Cytoplasm_AreaShape_Zernike_9_3,Cytoplasm_Correlation_Overlap_ER_AGP,Cytoplasm_Intensity_MassDisplacement_DNA,Cytoplasm_RadialDistribution_MeanFrac_AGP_4of4,Cytoplasm_RadialDistribution_RadialCV_ER_1of4,Nuclei_AreaShape_Orientation,Nuclei_AreaShape_Zernike_2_0,Nuclei_AreaShape_Zernike_3_1,Nuclei_AreaShape_Zernike_4_2,Nuclei_AreaShape_Zernike_4_4,Nuclei_AreaShape_Zernike_6_0,Nuclei_AreaShape_Zernike_6_2,Nuclei_AreaShape_Zernike_6_4,Nuclei_AreaShape_Zernike_7_1,Nuclei_AreaShape_Zernike_8_0,Nuclei_AreaShape_Zernike_8_2,Nuclei_AreaShape_Zernike_9_1,Nuclei_AreaShape_Zernike_9_3,Nuclei_Granularity_7_DNA,Nuclei_Intensity_StdIntensityEdge_RNA,Nuclei_Texture_Correlation_AGP_10_0,Nuclei_Texture_Correlation_RNA_20_0,Nuclei_Texture_DifferenceVariance_DNA_5_0,Nuclei_Texture_DifferenceVariance_ER_20_0,Nuclei_Texture_DifferenceVariance_Mito_10_0,Nuclei_Texture_Gabor_DNA_20,Nuclei_Texture_InfoMeas1_DNA_20_0,Nuclei_Texture_InfoMeas2_DNA_20_0,Nuclei_Texture_SumEntropy_DNA_10_0
-2.2969,2.5595,-14.879,1.963,-0.6762600000000001,0.49365,0.52236,-2.1868,4.9285,3.6332,-4.9277,2.7586,5.5981,-6.4131,-2.4905,3.2075,1.1016,3.9441,0.31174,5.8354,-6.0843,-6.2872,-3.1743,-3.1785,-0.67828,7.7367,4.3688,-0.3406,0.4910100000000001,-2.2976,2.6879,-1.8764,1.5601,-8.6847,-2.9308,1.5226,8.6265,-4.0242,1.8892,10.64,-19.061,-13.115,4.9552,4.6282,1.6433,10.515999999999998,-1.0469,-6.2293,-2.803,7.7238,6.215,-7.9478,0.61551,6.3102,-8.0291,1.4191,-3.0417,-2.3056
-4.6061,3.8113,0.27556,5.6474,-0.21598,15.323,2.6963,-1.5146,1.5811,3.0981,-5.1468,3.3725,-1.9428,-3.1862,-4.3328,6.4761,-4.0615,1.3494,-0.5251399999999999,3.8522,3.5459,-5.5593,3.917,-4.8067,1.0119,0.41639,-0.030786,-3.5296,-2.3932,2.7666,-3.6141,2.8697,-6.1643,1.6031,-1.0154,-6.2374,-4.3567,-1.0872,-8.0707,0.4976,-1.5127,0.5866399999999999,1.0929,2.9575,6.2248,0.46978,-1.3206,-4.6461,-1.1492,-4.9448,7.7158,-6.8391,-0.4128600000000001,-0.27123,-6.0101,8.0839,-9.9777,-10.263
-16.643,4.3201,-12.29,4.4128,6.1041,-2.6637,2.957,0.72742,-0.71511,0.6252300000000001,-8.8375,5.6655,-6.4761,-6.2979,0.8818,-3.6825,1.3303,-1.2334,2.405,8.2051,1.5205,8.4462,-6.3052,-0.25422,1.6301,4.8252,2.7343,-2.2769,8.8741,-0.79325,-2.3053,0.28983,-5.478,6.0998,-0.5997399999999999,-5.2624,-3.5632,-5.4699,-8.886000000000003,12.550999999999998,-2.2803,-3.5623,-0.20001,5.5809,11.382,-1.5467,-0.72738,-7.1776,0.028376,7.2953,3.6024,-18.198,2.3365,-2.3959,-14.733,0.6772199999999999,-2.58,-2.8374
-16.775,1.1462,-5.9113,2.4563,0.93119,2.2532,3.572,-0.53742,-0.90637,-1.3232,-6.3403,1.9401,1.0687,-5.0305,-1.3942,-4.0893,0.18915,-3.1631,4.3428,4.848,1.8203,5.0265,-0.35973,3.9338,-0.94248,2.1448,1.1727,-2.6481,6.202999999999999,-0.65595,-4.208,0.11808,-5.1437,7.4646,-0.7466,4.648,-5.0221,-1.0075,-0.45739,5.0113,5.7233,-2.8595,-4.1585,4.4998,3.6437,2.2365,-1.5006,2.9591,0.8836200000000001,4.28,4.7725,-6.5182,0.65181,-0.62626,-8.3786,1.4865,-2.9158,-0.47668
1.5788,-4.0561,-21.151,4.55,1.5189,8.8612,-0.43265,-12.159,3.4808,6.7184,-29.943,2.8972,12.858,8.4589,3.8488,2.9151,9.0313,0.28719,3.8401,-8.7364,-0.30314,2.4556,-9.0998,-9.5766,-14.094,16.91,17.428,-12.198,0.093424,14.017,14.255,-0.93534,-3.5777,-1.1665,7.6978,-18.351,-0.45627,-2.5443,-16.566,14.512,-17.87,-8.1143,0.35222,19.067,17.084,3.2538,-9.975,-2.2036,5.1962,-0.231,2.5163,-0.88203,-1.045,6.9683,-7.5237,2.7839,-2.8072,0.22375
6.3092,-4.7532,-15.396,18.7,9.6411,19.77,5.8598,-7.9265,10.865,3.067,-11.087,24.57,13.851,7.8587,0.44435,1.3715,6.086,-0.07587,-0.32113,-5.2624,-7.6428,-3.1463,-11.002,-0.23659,-6.1110000000000015,14.618,1.1279,-10.905,23.259,-7.449,11.134,-2.5892,-3.6423,-3.9587,5.5834,-23.454,5.1777,-7.371,-13.543,28.516,-22.131,-12.504,3.4793,-7.4677,12.123,15.54,-10.699000000000002,-0.36205,4.5435,-0.24009,-0.03211,-3.3186,0.61854,16.901,-5.1627,-0.8702799999999999,0.26849,3.0838
8.8376,0.90748,-0.89817,8.1429,1.0374,4.3158,18.024,13.173,2.2266,3.5513,-0.24911,6.0347,-3.5952,15.036,6.9042,-0.22153,6.9819,1.2262,-1.6359,-9.6237,-1.9605,-1.5526,-12.287,-4.8302,6.8499,12.289,-9.2262,-1.6318,-0.7575,-19.212,6.9362,-6.619,-11.349,0.26278,-3.6614,-21.22300000000001,-6.2764,11.293,-16.085,30.981,-20.065,-16.988,4.2327,10.452,13.617,6.9177,-9.0994,-5.1282,2.6236,2.7305,0.15944,7.2282,-3.9033,9.253,-9.4737,0.36335,-1.1138,2.8115
6.3867,-15.304,-6.9006,-16.11,20.298,0.65005,2.357,-17.169,29.643,9.8332,-2.3864,-3.2880000000000003,-10.414,5.9027,2.0997,-1.0945,6.9912,0.7249399999999999,-3.7942,-5.4571,-11.303,14.262,-3.4341,-4.2189,-17.829,11.688,5.9753,-3.2882,-0.8708299999999999,1.8135,13.872,-7.2673,-6.1643,-5.4706,9.8518,-23.921,-2.3485,-9.921,-9.4263,20.609,-25.704,-10.714,6.6548,9.387,19.537,10.35,-7.2804,-5.5376,1.2803,5.7129,0.081852,-4.7032,0.10132,8.6757,-8.9142,0.1114,-1.1977,4.3096
5.4528,-11.41,-31.286,-1.3131,15.604,-10.513,-2.9824,-11.557,9.8471,-5.1845,2.657,-3.9235,-2.8323,3.7854,2.7812,1.7332,4.0023,-1.5933,-3.3837,-2.6674,-12.554,-8.1767,-8.0806,-5.3327,-1.1204,12.899,1.7772,-0.6129100000000001,-4.0019,0.059632,12.06,-7.6294,-11.062,-4.3146,7.0763,-1.3757,-13.099,-9.7502,1.5445,-11.613,4.3912,-8.1115,-5.2882,11.715,19.142,23.161,-0.0730649999999999,-5.2325,5.6564,4.1011,4.2788,-4.243,7.1487,10.779000000000002,-1.4338,-10.872,7.0047,5.1008
6.6667,-11.741,-20.213,-5.6213,16.538,27.972,2.6547,-5.3362,6.6002,13.272,-2.073,4.506,-9.503,8.9506,3.0932,0.93065,4.9605,-0.94341,-3.0606,-2.6674,-3.8101,7.2599,-7.8441,-3.6663,-24.037,13.634,-4.9554,1.9736,-1.2353,-6.9839,9.01,-8.6621,-11.924,6.2092,7.5929,-9.8436,1.3566,-4.9747,-12.002,18.381,-12.434,-11.308,3.5024,8.4991,17.869,7.3146,4.3796,-1.2828,5.9317,2.4131,1.6049,-7.649,2.9838,4.5706,-5.8466,-2.6260000000000003,2.36,3.6805
