Metadata_pert_id,Compound,Compound_Category,Metadata_target,Metadata_mmoles_per_liter
BRD-A04438777,,dopamine receptor agonist,,5.0
BRD-A09094913,strychnine,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA10, CHRNA9, GLRA1, GLRA2, GLRA3, GLRB",5.0
BRD-A09467419,mebeverine,acetylcholine receptor antagonist,CHRM1,2.14587651373348
BRD-A10070317,propranolol,adrenergic receptor antagonist,,5.0
BRD-A10739734,efaroxan,adrenergic receptor antagonist,ADORA2A,5.0
BRD-A14566392,scopolamine,acetylcholine receptor antagonist,"CHRM2, CHRM1, CHRM3, CHRM4, CHRM",5.0
BRD-A17065207,brefeldin-a,protein synthesis inhibitor,"ARF1, ARFGEF1, ARFGEF2, CYTH2, GBF1, SAR1A",5.0
BRD-A18696154,idazoxan,adrenergic receptor antagonist,ADRA2A,5.0
BRD-A22380646,,ATPase inhibitor,,5.0
BRD-A22684332,procaterol,adrenergic receptor agonist,ADRB2,5.0
BRD-A23034328,clindamycin,protein synthesis inhibitor,,2.1671103897426702
BRD-A23683907,NAS-181,serotonin receptor antagonist,HTR1B,5.0
BRD-A24587114,,adrenergic receptor agonist,"ADRB1, ADRB2",2.98136882990814
BRD-A26222320,puromycin,protein synthesis inhibitor,"NHP2L1, RPL10L, RPL11, RPL13A, RPL15, RPL19, RPL23, RPL23A, RPL26L1, RPL3, RPL37, RPL8, RSL24D1",5.30211943104611
BRD-A28856712,,adrenergic receptor agonist,,5.0
BRD-A29260609,acebutolol,adrenergic receptor antagonist,"ADRB1, ADRB2",5.0
BRD-A30717181,,glucocorticoid receptor agonist,"CYP3A5, CYP3A7, NR3C1, SERPINA6",5.0
BRD-A31800922,procyclidine,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4",5.0
BRD-A34806832,,ATPase inhibitor,ATP1A1,1.88448243293014
BRD-A35931254,,dopamine receptor agonist,"DRD1, DRD2, DRD3",5.0
BRD-A37432947,ipratropium,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",2.41914585572253
BRD-A37441042,tulobuterol,adrenergic receptor agonist,ADRB2,5.0
BRD-A40022950,,ATPase inhibitor,,5.0
BRD-A44551378,,EGFR inhibitor,EGFR,5.0
BRD-A01320529,salmeterol,adrenergic receptor agonist,ADRB2,5.0
BRD-A01787639,naftopidil,adrenergic receptor antagonist,ADRA1A,5.0
BRD-A04322457,isoprenaline,adrenergic receptor agonist,"ADRB1, ADRB2, ADRB3, MAPK1, PIK3R1, PIK3R2, PIK3R3",5.0
BRD-A04438777,,dopamine receptor agonist,,5.0
BRD-A09094913,strychnine,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA10, CHRNA9, GLRA1, GLRA2, GLRA3, GLRB",5.0
BRD-A09467419,mebeverine,acetylcholine receptor antagonist,CHRM1,2.14587651373348
BRD-A10070317,propranolol,adrenergic receptor antagonist,,5.0
BRD-A10739734,efaroxan,adrenergic receptor antagonist,ADORA2A,5.0
BRD-A14566392,scopolamine,acetylcholine receptor antagonist,"CHRM2, CHRM1, CHRM3, CHRM4, CHRM",5.0
BRD-A17065207,brefeldin-a,protein synthesis inhibitor,"ARF1, ARFGEF1, ARFGEF2, CYTH2, GBF1, SAR1A",5.0
BRD-A18696154,idazoxan,adrenergic receptor antagonist,ADRA2A,5.0
BRD-A22380646,,ATPase inhibitor,,5.0
BRD-A22684332,procaterol,adrenergic receptor agonist,ADRB2,5.0
BRD-A23034328,clindamycin,protein synthesis inhibitor,,2.1671103897426702
BRD-A23683907,NAS-181,serotonin receptor antagonist,HTR1B,5.0
BRD-A24587114,,adrenergic receptor agonist,"ADRB1, ADRB2",2.98136882990814
BRD-A26222320,puromycin,protein synthesis inhibitor,"NHP2L1, RPL10L, RPL11, RPL13A, RPL15, RPL19, RPL23, RPL23A, RPL26L1, RPL3, RPL37, RPL8, RSL24D1",5.30211943104611
BRD-A28856712,,adrenergic receptor agonist,,5.0
BRD-A29260609,acebutolol,adrenergic receptor antagonist,"ADRB1, ADRB2",5.0
BRD-A30717181,,glucocorticoid receptor agonist,"CYP3A5, CYP3A7, NR3C1, SERPINA6",5.0
BRD-A31800922,procyclidine,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4",5.0
BRD-A34806832,,ATPase inhibitor,ATP1A1,1.88448243293014
BRD-A35931254,,dopamine receptor agonist,"DRD1, DRD2, DRD3",5.0
BRD-A37432947,ipratropium,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",2.41914585572253
BRD-A37441042,tulobuterol,adrenergic receptor agonist,ADRB2,5.0
BRD-A40022950,,ATPase inhibitor,,5.0
BRD-A44551378,,EGFR inhibitor,EGFR,5.0
BRD-K18574842,nafcillin,bacterial cell wall synthesis inhibitor,"CYP1A2, CYP3A4, SLC22A6",2.19548690004561
BRD-K18909381,,serotonin receptor agonist,"HTR1B, HTR1A, HTR1D, HTR2A, HTR2B, HTR2C",5.0
BRD-K19352500,prochlorperazine,dopamine receptor antagonist,"DRD1, DRD2, DRD3, DRD4",1.64992820007452
BRD-K19554809,,serotonin receptor agonist,"HTR2A, HTR2B, HTR2C",5.0
