dataset,top_n,gene_mode,modality,acc_mean,acc_std,f1_mean,f1_std,auroc_mean,auroc_std,topk_mean,topk_std
CDRP-bio,100,random,Early Fusion,0.2692,0.06266851356616486,0.23116899819756964,0.04821289788226529,,,0.5157333333333333,0.0887934557148092
CDRP-bio,100,random,GE,0.16146666666666668,0.05842318476870736,0.13809263038548752,0.04837670930369298,,,0.3489333333333333,0.09660064795427192
CDRP-bio,100,random,Late Fusion,0.2693333333333333,0.06889168901119216,0.242029254607826,0.05325778195610389,,,0.48840000000000006,0.11329603144303307
CDRP-bio,100,ranked,CP,0.23666666666666666,0.058214163988576595,0.20959410430838998,0.02612486554629146,,,0.44733333333333325,0.07728554557972372
CDRP-bio,100,ranked,Early Fusion,0.2856666666666666,0.07019417513029283,0.2578327228327228,0.06478992774430316,,,0.5213333333333333,0.09834321984198446
CDRP-bio,100,ranked,GE,0.29333333333333333,0.0894427190999916,0.22602182539682542,0.0670424169418634,,,0.47333333333333333,0.1826236263162269
CDRP-bio,100,ranked,Late Fusion,0.26166666666666666,0.09941495528004494,0.2409642857142857,0.07523268944899149,,,0.4886666666666667,0.11865800530188522
CDRP-bio,100,wilcoxon_union,CP,0.23666666666666666,0.058214163988576595,0.20959410430838998,0.02612486554629146,,,0.44733333333333325,0.07728554557972372
CDRP-bio,100,wilcoxon_union,Early Fusion,0.29433333333333334,0.09934228147616142,0.25303174603174605,0.06259088629839851,,,0.5700000000000001,0.09195409482755817
CDRP-bio,100,wilcoxon_union,GE,0.278,0.09437955287031188,0.2534863945578231,0.07736241905401803,,,0.489,0.08437350821726503
CDRP-bio,100,wilcoxon_union,Late Fusion,0.30233333333333334,0.10019148333732428,0.2762909035409035,0.07522915720971804,,,0.5453333333333333,0.14098069213745387
CDRP-bio,15,random,CP,0.2366666666666667,0.05314201797141385,0.20959410430839,0.02384863028582227,,,0.44733333333333336,0.07055172780518061
CDRP-bio,15,random,Early Fusion,0.24953333333333333,0.052738698982534346,0.22736026513169372,0.03600411111130033,,,0.46053333333333335,0.10122824411895825
CDRP-bio,15,random,GE,0.11053333333333333,0.06294787673293822,0.09004223356009071,0.044382640767767205,,,0.3094,0.1043874105507052
CDRP-bio,15,random,Late Fusion,0.26266666666666666,0.06633947486923548,0.23443898046398043,0.04654004161804159,,,0.4703333333333333,0.09820259670701177
CDRP-bio,15,ranked,CP,0.23666666666666666,0.058214163988576595,0.20959410430838998,0.02612486554629146,,,0.44733333333333325,0.07728554557972372
CDRP-bio,15,ranked,Early Fusion,0.24500000000000002,0.06335525936249403,0.23129404325832895,0.04476230782589666,,,0.46399999999999997,0.10626617523934886
CDRP-bio,15,ranked,GE,0.22000000000000003,0.07968688725254615,0.16398412698412698,0.054606358342029926,,,0.42333333333333334,0.153260852434302
CDRP-bio,15,ranked,Late Fusion,0.24466666666666667,0.05454865310487102,0.2128999433106576,0.030046409841293694,,,0.43966666666666665,0.09121403400793104
CDRP-bio,15,wilcoxon_union,CP,0.23666666666666666,0.058214163988576595,0.20959410430838998,0.02612486554629146,,,0.44733333333333325,0.07728554557972372
CDRP-bio,15,wilcoxon_union,Early Fusion,0.261,0.051902686721294965,0.24102237048665617,0.045137873289734946,,,0.45600000000000007,0.10626617523934884
CDRP-bio,15,wilcoxon_union,GE,0.20433333333333334,0.06857275130999356,0.17369841269841269,0.040764905566248344,,,0.44666666666666666,0.08768630958643939
CDRP-bio,15,wilcoxon_union,Late Fusion,0.26866666666666666,0.03969326839094452,0.22608219954648523,0.017312639354300247,,,0.5043333333333333,0.08512735557191158
CDRP-bio,150,random,CP,0.2366666666666667,0.05314201797141385,0.20959410430839,0.02384863028582227,,,0.44733333333333336,0.07055172780518061
CDRP-bio,150,random,Early Fusion,0.2738,0.059662476575408005,0.23350538984824698,0.0475351905916494,,,0.5040666666666667,0.08929259021143168
CDRP-bio,150,random,GE,0.1733333333333333,0.06622073078111707,0.1508805599162742,0.052433614462479794,,,0.36160000000000003,0.05758142383069711
CDRP-bio,150,random,Late Fusion,0.253,0.06613328293008833,0.23292694197337052,0.05466315716797055,,,0.4736666666666667,0.11220537552317311
CDRP-bio,150,ranked,CP,0.23666666666666666,0.058214163988576595,0.20959410430838998,0.02612486554629146,,,0.44733333333333325,0.07728554557972372
CDRP-bio,150,ranked,Early Fusion,0.294,0.08447221765501102,0.2561172161172161,0.0681036813524235,,,0.5376666666666667,0.09470421790442539
CDRP-bio,150,ranked,GE,0.261,0.051902686721294965,0.2139175170068027,0.04621278240995183,,,0.465,0.10265909062956328
CDRP-bio,150,ranked,Late Fusion,0.262,0.1085152319057355,0.23983333333333334,0.08427108615177152,,,0.4966666666666667,0.12894335534989343
CDRP-bio,150,wilcoxon_union,CP,0.23666666666666666,0.058214163988576595,0.20959410430838998,0.02612486554629146,,,0.44733333333333325,0.07728554557972372
CDRP-bio,150,wilcoxon_union,Early Fusion,0.32566666666666666,0.07720463428807596,0.2812743764172335,0.06562767547613524,,,0.5686666666666667,0.13907631797765652
CDRP-bio,150,wilcoxon_union,GE,0.21966666666666668,0.061309778085464395,0.17973015873015874,0.07123442198852536,,,0.4966666666666667,0.10011104945120804
CDRP-bio,150,wilcoxon_union,Late Fusion,0.326,0.08406842451241725,0.2966421012849584,0.07337875222849627,,,0.5446666666666666,0.1433401161185831
