dataset,top_n,gene_mode,modality,acc_mean,acc_std,f1_mean,f1_std,auroc_mean,auroc_std,topk_mean,topk_std
LINCS,300,wilcoxon_union,CP,0.24242585744910325,0.10238545089780655,0.21810447584375176,0.0997864679937605,0.6540971453054034,0.06819994350634036,0.3538161797338559,0.09443530925019299
LINCS,300,wilcoxon_union,Early Fusion,0.2659710678690409,0.10164811636300962,0.2650713005585269,0.10274096683652088,0.700135008068245,0.06746651967033535,0.40001690661229483,0.09493748804202858
LINCS,300,wilcoxon_union,GE,0.27372354599893195,0.08273196879889358,0.2735262000531599,0.07729302704119138,0.7121117596888489,0.05111236755629491,0.4052754548639914,0.06514684854626746
LINCS,300,wilcoxon_union,Late Fusion,0.2572048623043127,0.10091280917257991,0.25605505620272434,0.08880358225676173,0.6928761808813185,0.060785944194392,0.39957537029430146,0.07985354491985792
LINCS,400,random,CP,0.24242585744910322,0.09346470169511031,0.21810447584375176,0.09109216575658315,0.6540971453054034,0.057639472426627994,0.3538161797338559,0.08620724850217826
LINCS,400,random,Early Fusion,0.2458205835024461,0.11097304513709515,0.24012858478675414,0.1082478959482756,0.681684581864912,0.05709571103873702,0.3587741460050766,0.09734251355785474
LINCS,400,random,GE,0.2711608352739786,0.0710383037624384,0.2550913182692385,0.07743917684835666,0.6871763497364125,0.03721080937890464,0.39130617903946807,0.06257433315826058
LINCS,400,random,Late Fusion,0.2682723096067581,0.08712614717741134,0.2516885895009766,0.08417301146111525,0.673511695816871,0.05060822117802738,0.39713969720250497,0.07591613409771483
LINCS,400,ranked,CP,0.24242585744910325,0.10238545089780655,0.21810447584375176,0.0997864679937605,0.6540971453054034,0.06819994350634036,0.3538161797338559,0.09443530925019299
LINCS,400,ranked,Early Fusion,0.25266631476653917,0.12479476078626968,0.24859396278303253,0.11938063996257883,0.684109773034296,0.07411897439204267,0.3670142286461089,0.12225431201418231
LINCS,400,ranked,GE,0.2827501931765651,0.08347750341392722,0.2617259576248307,0.08882871424610331,0.693222070150743,0.051132322913125125,0.4172602448400856,0.06666154396529067
LINCS,400,ranked,Late Fusion,0.2758164695653008,0.0987344339521282,0.2578811790475498,0.08759223695586545,0.6759686696731319,0.06418295971965898,0.41591251530183937,0.09648094603556236
LINCS,400,wilcoxon_union,CP,0.24242585744910325,0.10238545089780655,0.21810447584375176,0.0997864679937605,0.6540971453054034,0.06819994350634036,0.3538161797338559,0.09443530925019299
LINCS,400,wilcoxon_union,Early Fusion,0.2591882259882551,0.0993014299708218,0.25583274227222147,0.09716978147372649,0.7092829301888169,0.054223469891344446,0.41056357364835455,0.10631039869400907
LINCS,400,wilcoxon_union,GE,0.25834851485359517,0.09747529552922457,0.24497475308091637,0.0938500401589924,0.7135588453962202,0.056753363645580854,0.40233071210804605,0.06377965899668046
LINCS,400,wilcoxon_union,Late Fusion,0.26191028358195434,0.09881626368822624,0.23990830154579673,0.09335791566401967,0.6916373709211282,0.06388250050346427,0.38760073085651764,0.08338663729785226
LINCS,5,random,CP,0.24242585744910322,0.09346470169511031,0.21810447584375176,0.09109216575658315,0.6540971453054034,0.057639472426627994,0.3538161797338559,0.08620724850217826
LINCS,5,random,Early Fusion,0.24645727787714095,0.08857762125274635,0.22990019258301847,0.08612245207036082,0.6571667761367791,0.05629107309937373,0.36233543660922785,0.0792323640603269
LINCS,5,random,GE,0.11489959746816604,0.0459011698547475,0.08809856872526392,0.04371484460820168,0.5855115698744773,0.03758646705203694,0.26661847388648874,0.06847811931548783
LINCS,5,random,Late Fusion,0.2512142384048331,0.08786785670008082,0.2257846225103314,0.09195817594962107,0.6560265369134481,0.05237372865673041,0.3571508355563512,0.09239776343112324
LINCS,5,ranked,CP,0.24242585744910325,0.10238545089780655,0.21810447584375176,0.0997864679937605,0.6540971453054034,0.06819994350634036,0.3538161797338559,0.09443530925019299
LINCS,5,ranked,Early Fusion,0.25188154595950635,0.10143232752986267,0.2409134507957707,0.09897148167130838,0.6574288004776413,0.06613984816781467,0.36140642995145145,0.09502874113365915
LINCS,5,ranked,GE,0.2176081779884739,0.0892548738072789,0.19415326396872484,0.0960401016893876,0.6662061335964484,0.048721610482142755,0.35218065329819126,0.05617866003077591
LINCS,5,ranked,Late Fusion,0.25179869092797386,0.09071452650599168,0.22687203969196873,0.0954335552810397,0.6563621903906441,0.06326279971648723,0.35432492782184744,0.08473385651274691
LINCS,50,random,CP,0.24242585744910322,0.09346470169511031,0.21810447584375176,0.09109216575658315,0.6540971453054034,0.057639472426627994,0.3538161797338559,0.08620724850217826
LINCS,50,random,Early Fusion,0.25953781834174855,0.08203171773317788,0.23845846307367835,0.09108213909942403,0.6614155287807625,0.057455929033636444,0.37124304147022685,0.07980487972423099
LINCS,50,random,GE,0.2242901781948367,0.0746325945825263,0.21098362199386003,0.07893178222136964,0.658197600376242,0.04352547408800648,0.34955282884014677,0.07110586657728676
LINCS,50,random,Late Fusion,0.25821353518175466,0.08852925730430612,0.23721882654548543,0.09025230978581705,0.6595011828928041,0.05478796064220157,0.3622044061128151,0.0861030651642843
LINCS,50,ranked,CP,0.24242585744910325,0.10238545089780655,0.21810447584375176,0.0997864679937605,0.6540971453054034,0.06819994350634036,0.3538161797338559,0.09443530925019299
LINCS,50,ranked,Early Fusion,0.24804227205831295,0.09412567048266476,0.237404825181427,0.10684279851488802,0.6599771859159245,0.07351255217620556,0.3852817283295497,0.08774528993891659
LINCS,50,ranked,GE,0.2249245845527299,0.08057107227150663,0.22411056905332952,0.08348257038508955,0.6860606439113375,0.052932740577808585,0.3640518089691111,0.080554117048164
LINCS,50,ranked,Late Fusion,0.24925522819875262,0.08625339837604225,0.2278156935472621,0.08876108823944942,0.6590403474328922,0.06464253233588466,0.3512928957642164,0.09310961580445441
LINCS,50,wilcoxon_union,CP,0.24242585744910325,0.10238545089780655,0.21810447584375176,0.0997864679937605,0.6540971453054034,0.06819994350634036,0.3538161797338559,0.09443530925019299
